"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","1uF","Capacitor_SMD:C_0805_2012Metric",""
"2","C2","1","0.22uF","",""
"3","C3","1","C","",""
"4","C4, C6, C7, C8, C9","5","0.1uF","",""
"5","C5","1","2.2uF","Capacitor_SMD:C_0805_2012Metric",""
"6","J2","1","LEMO FFA.0S","Fonte-de-corrente-SWLS-complementar:Lemo_Painel_4vias",""
"7","J3","1","LEMO FFA.0S","",""
"8","J4","1","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"9","R1, R2","2","1MR","Resistor_SMD:R_0805_2012Metric",""
"10","R3","1","10K","",""
"11","R4, R5","2","100R","Resistor_SMD:R_0805_2012Metric",""
"12","R6, R7","2","22KR","Resistor_SMD:R_0805_2012Metric",""
"13","R8, R9","2","120R","Resistor_SMD:R_0805_2012Metric",""
"14","SW1","1","SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Piano_10.8x4.1mm_W7.62mm_P2.54mm",""
"15","U1","1","LM7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
"16","U2","1","LT3080xST","Package_TO_SOT_SMD:SOT-223",""
"17","U3, U4","2","LT3092xST","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"18","U5","1","74AHC1G04","Package_TO_SOT_SMD:SOT-353_SC-70-5_Handsoldering",""
"19","U6, U7, U8, U9","4","TS5A21366","Package_SO:VSSOP-8_2.4x2.1mm_P0.5mm",""
